id,source,topic,domain_code,domain,type,question,optionA,optionB,optionC,optionD,optionE,optionF,correct,explanation
0011,Broker_VM_Overview,Broker VM Overview,1.4.2,1.4.2 Broker VM,single,On which default port do agents connect to the Broker VM when using the Local Agent Settings applet?,443,4443,8080,8888,,,D,"The source states ""Agents connect to the default port 8888 or your specified port, and the Broker VM will route agent requests to the Cortex server."" Port 443 is a common HTTPS distractor; 4443 is the Broker VM WebUI port for versions 19 and above (from the Setup module) — a plausible but incorrect answer here."
0012,Broker_VM_Overview,Broker VM Overview,1.4.2,1.4.2 Broker VM,single,"After the Syslog Collector applet server stores received logs in memory, what is the correct sequence of subsequent processing steps?",Dispatcher reads logs → Aggregator compresses them → Sent to Cortex,Aggregator aggregates and compresses logs into batches → Dispatcher reads a batch and sends it to Cortex,Aggregator sends logs directly to Cortex → Dispatcher archives the batch locally,Dispatcher batches the logs → Aggregator compresses and sends to Cortex,,,B,"The source describes the flow as: server stores logs in memory → aggregator reads, aggregates, and compresses into batches placed in a queue → dispatcher reads a compressed batch from the queue and sends it to Cortex. Option A inverts the aggregator/dispatcher order, which is the key trap."
0013,Broker_VM_Overview,Broker VM Overview,1.4.2,1.4.2 Broker VM,single,How long does the Local Agent Settings applet cache store installer and content files since the last request from an agent?,7 days,15 days,30 days,90 days,,,C,"The source states cached files are stored ""for 30 days since the last request from an agent."" If files are not available on the Broker VM, the agent downloads directly from the Cortex management server."
0014,Broker_VM_Overview,Broker VM Overview,1.4.2,1.4.2 Broker VM,single,What scanning protocols does the Network Mapper applet use when performing network scans to find unmanaged devices?,UDP broadcast and ARP sweeps,SNMP polling and ICMP echo,ICMP or TCP SYN scans,DNS zone transfers and NetBIOS queries,,,C,"The source states: ""It initiates Internet Control Message Protocol (ICMP) or Transmission Control Protocol (TCP) Synchronize (SYN) scans on your chosen ports or port ranges."" UDP, SNMP, ARP, DNS zone transfers, and NetBIOS are not mentioned as Network Mapper scanning methods."
0015,Broker_VM_Overview,Broker VM Overview,1.4.2,1.4.2 Broker VM,multi,At what frequency can Network Mapper scans be scheduled? (Choose two.),Hourly,Daily,Weekly,Every 12 hours,Bi-monthly,,B|C,"The source lists the available scan schedules as ""daily, weekly, monthly, or immediately ('scan now')."" Hourly and every 12 hours are not listed as available schedule options. Monthly and ""scan now"" are also valid but are not among the options presented here."
0016,Broker_VM_Overview,Broker VM Overview,1.4.2,1.4.2 Broker VM,single,Which two Broker VM applets are specifically listed as part of the Cortex Asset Management feature?,Syslog Collector and Windows Event Collector,Network Mapper and Pathfinder,AppSec Transporter and CSV Collector,Apache Kafka Collector and Database Collector,,,B,"The source explicitly states: ""The Network Mapper applet and the Pathfinder applet are part of the Asset Management feature of Cortex."" While Syslog Collector, WEC, and other applets are data collectors, they are not identified as Asset Management components. This is a precise factual distinction tested on the exam."
0017,Broker_VM_Setup,Broker VM Setup,1.4.2,1.4.2 Broker VM,single,For which hypervisor platform does Palo Alto Networks provide a VMDK Broker VM image?,VMware ESXi,Microsoft Hyper-V,Amazon Web Services,Microsoft Azure,,,C,"The source's image-type table shows VMDK is provided for AWS, GCP, and KVM/Qcow2 environments. OVA is for ESXi; VHD is for Hyper-V; VHD Azure is for Microsoft Azure. AWS (VMDK) is the correct pairing, making Hyper-V and Azure tempting wrong answers because they sound like common enterprise VM targets."
0018,Broker_VM_Setup,Broker VM Setup,1.4.2,1.4.2 Broker VM,single,"When a registration token is generated from the Cortex management console to pair a Broker VM, for how long is that token valid?",1 hour,8 hours,24 hours,72 hours,,,C,"The source states explicitly: ""The token is only valid for 24 hours."" After the popup window closes, the token is no longer available, reinforcing the time-sensitive nature of the registration window."
0019,Broker_VM_Setup,Broker VM Setup,1.4.2,1.4.2 Broker VM,single,What is the default password used to log in to a freshly loaded Broker VM OVA image for the first time?,`admin`,`BrokerVM1!`,`PaloAlto123`,`InitialPassw0rd`,,,D,"The source states: ""Log in using the default password *InitialPassw0rd*."" The mixed-case spelling with a zero replacing the 'o' is precise and exam-testable. The other options are plausible default password formats but are not mentioned in the source."
0020,Broker_VM_Setup,Broker VM Setup,1.4.2,1.4.2 Broker VM,single,Which URL format is used to access the Broker VM local configuration portal for Broker VM Version 19 and above?,`https://<broker-vm-ip>`,`https://<broker-vm-ip>:443`,`https://<broker-vm-ip>:4443`,`https://<broker-vm-ip>:8888`,,,C,"The source specifies that for ""Broker VM Version 19 and above"" the portal URL is `https://<broker-vm-ip>:4443`, while ""Version 18 and below"" uses `https://<broker-vm-ip>` (no port). Port 8888 is the default agent connection port for the Local Agent Settings applet — a closely related but different function."
0021,Broker_VM_Setup,Broker VM Setup,1.4.2,1.4.2 Broker VM,multi,What are the two prerequisites that must be deactivated on a Broker VM before it can be added to a High Availability cluster? (Choose two.),Syslog Collector,Network Mapper,Pathfinder,AppSec Transporter,Windows Event Collector,,C|D,"The source's prerequisites table states: ""Ensure Pathfinder and AppSec Transporter is deactivated on the Broker VM"" before creating a cluster. Syslog Collector, Network Mapper, and Windows Event Collector are not listed as applets that must be deactivated for cluster creation."
0022,Broker_VM_Setup,Broker VM Setup,4.2,4.2 software component updates (Broker VM),single,"When configuring a Broker VM auto-upgrade time window, what is the minimum duration that window must be?",One hour,Two hours,Four hours,Eight hours,,,C,"The source states: ""You can configure days and times during which the upgrade can be performed. Time windows must be at least four hours long."" This is a precise factual detail not easily guessed from general knowledge."
0023,Broker_VM_Setup,Broker VM Setup,1.4.2,1.4.2 Broker VM,single,A Cortex administrator needs to apply the same applet settings from one Broker VM to a newly deployed Broker VM. Which Broker VM page action achieves this?,"Right-click the source Broker VM and select Export Configuration, then load the file on the new VM.","Right-click the target Broker VM, select Import Configuration, and choose the source Broker VM.",Use the Broker VM WebUI on the target VM and pull settings via the Cloud Sync Services menu.,Generate a new token from the source Broker VM and enter it on the target VM to replicate settings.,,,B,"The source states: ""To copy configurations, right-click the Broker VM you want to update, select Import Configuration, and then choose the Broker VM from which to copy configurations."" The action is taken on the *target* VM, not the source — Option A reverses this logic."
0024,Broker_VM_Setup,Broker VM Setup,1.4.2,1.4.2 Broker VM,single,"In the context of creating a Broker VM HA cluster, which statement about the number of allowable clusters and nodes is accurate?",A maximum of two clusters per Cortex tenant is supported.,Each cluster supports a maximum of four nodes.,There is no limit to the number of clusters and nodes that can be added.,Clusters support a maximum of eight nodes but unlimited clusters.,,,C,"The source states: ""There is no limit to the number of clusters and nodes that you can add."" The other options invent specific limits that do not appear anywhere in the source material."
0025,Cortex_Advanced_Response_Actions,Cortex: Advanced Response Actions,2.4,2.4 automation workflow (2.4.2 playbook tasks),single,Remediation Suggestions in Cortex can revert changes made by malicious processes. Which operating system does this action support?,Windows and macOS,"Windows, macOS, and Linux",Linux only,Windows only,,,D,"The source states: ""Remediation suggestions action is available only for Windows."" The screenshot header also confirms this: ""reverting file and registry keys to a Windows endpoint."" Multi-OS options (A, B) are tempting because Cortex broadly supports cross-platform endpoints, but the remediation suggestion feature is explicitly Windows-only per the source."
0026,Cortex_Advanced_Response_Actions,Cortex: Advanced Response Actions,2.4,2.4 automation workflow (2.4.2 playbook tasks),multi,From which three locations in the Cortex management console can the Remediation Suggestions action be accessed? (Choose three.),Right-click menu of a process node in the Causality View,Actions menu of the Causality View,Three-dot menu of a case,Action Center > Agent Scripts Library,Investigation & Response > Response > EDL,,A|B|C,"The source lists exactly three entry points for Remediation Suggestions: (1) right-click menu of a process node, (2) Actions menu of Causality View, and (3) the three-dot menu of a case. The Scripts Library and EDL pages are separate response action areas not associated with Remediation Suggestions."
0027,Cortex_Advanced_Response_Actions,Cortex: Advanced Response Actions,2.4,2.4 automation workflow (2.4.2 playbook tasks),single,"In the context of Cortex Remote Script Executions, what is an ""entry point""?",The name of the targeted endpoint,The name of the script file as it appears in the Scripts Library,The name of the function called within the script,The action rule name assigned during script upload,,,C,"The source defines an entry point as a ""Function name"" in the knowledge check, and the illustrated example shows `ping` as the entry point — the name of the Python function called at runtime. The script file name and the action rule name are separate, distinct identifiers."
0028,Cortex_Advanced_Response_Actions,Cortex: Advanced Response Actions,2.4,2.4 automation workflow (2.4.2 playbook tasks),single,"When viewing the results of a completed Endpoint Script Execution in Action Center, which right-click option provides details such as the Return Value for each targeted endpoint?",View script source,Download definitions file,Additional data,Show case,,,C,"The source describes Step 6 of the running-scripts workflow: ""Select the Additional data action from the right-click menu of a script execution action to get details such as Return Value, which is the output of your script."" ""Download definitions file"" is a Scripts Library shortcut menu option for obtaining the JSON definition of a script, not an Action Center result detail."
0029,Cortex_Advanced_Response_Actions,Cortex: Advanced Response Actions,2.4,2.4 automation workflow (2.4.2 playbook tasks),single,What format is the script definition file that can be downloaded from the Scripts Library?,XML,YAML,CSV,JSON,,,D,"The source states: ""You can download the source code and definition of a script in the library using the Download actions on the script's shortcut menu. The script definition is a JSON formatted file."" XML and YAML are common configuration formats in security tooling but are not mentioned as the script definition format."
0030,Cortex_Advanced_Response_Actions,Cortex: Advanced Response Actions,2.2,2.2 automation & feed integrations,single,Cortex's EDL service exposes two types of block lists over HTTPS. What are those two types?,Hostnames and port numbers,IP addresses and domain names,File hashes and registry paths,FQDN records and ASN ranges,,,B,"The source states: ""Cortex instances can serve two types of block lists over Hypertext Transfer Protocol Secure (HTTPS): IP addresses and domain names. Domain names may also include hostnames in fully qualified domain name (FQDN) form."" File hashes and registry paths are IOC types, not EDL list types."
0031,Cortex_Advanced_Response_Actions,Cortex: Advanced Response Actions,2.2,2.2 automation & feed integrations,single,An analyst wants to add a malicious IP address to an EDL directly from the IP View within the management console. Which method supports this?,"Action Center > Currently Applied Actions > External Dynamic List, then click Add Entry",Actions Menu within IP View,"Detection Rules > IOC, then select Add to EDL from the context menu","Settings > Integrations > External Dynamic List Integration, then type the IP manually",,,B,"The source lists four ways to add an IP address to the EDL, including ""Actions Menu within IP View."" The Settings > Integrations page (D) is the one-time global configuration location, not the entry point for adding individual IPs. The IOC rules page (C) manages IOC rules, not EDL entries."
0032,Cortex_Advanced_Response_Actions,Cortex: Advanced Response Actions,2.2,2.2 automation & feed integrations,single,"When the EDL global configuration is set in Cortex, what is the format of the URL used to serve the IP address block list?",`https://edl<subdomain>.xdr<region>.paloaltonetworks.com/block_list?type=ip`,`https://cortex<tenant>.xdr.paloaltonetworks.com/edl?list=ip`,`https://<broker-vm-ip>:4443/edl/block_list/ip`,`https://api.xdr.paloaltonetworks.com/v1/edl?type=ip_address`,,,A,"The source states the IP address EDL URL takes the form `https://edl<subdomain>.xdr<region>.paloaltonetworks.com/block_list?type=ip`, and the screenshot confirms a real example URL matching this pattern. The other options use plausible but fabricated URL structures not found in the source."
0033,Cortex_Alerting_and_Detection,Cortex: Alerting and Detection,3.3,3.3 detection rules (IOC/BIOC),single,"According to the source, Palo Alto Networks does NOT provide IOC rules but DOES provide which type of globally distributed rules?",Correlation rules,Data model rules,Global BIOC rules,Parsing rules,,,C,"The source states: ""Palo Alto Networks does not provide IOC rules, although it does provide global BIOC rules."" The BIOC attribute table also lists ""Palo Alto Networks"" as the Source for global BIOC rules. Correlation and parsing rules appear in the Marketplace but are not described as globally provided by PAN in this context."
0034,Cortex_Alerting_and_Detection,Cortex: Alerting and Detection,3.3,3.3 detection rules (IOC/BIOC),single,Which attribute of a BIOC rule uniquely identifies it as a global rule versus a user-created rule?,The MITRE ATT&CK Tactic field is populated.,"The Source field shows ""Palo Alto Networks.""",The Global Rule ID field is populated.,"The Severity level is set to ""Informational.""",,,C,"The source's BIOC attribute table defines ""Global Rule ID"" as: ""A globally unique identification number for the rule. If a rule is not of type Global BIOC rule, this attribute is empty."" While the Source field may also say ""Palo Alto Networks"" for global rules, the Global Rule ID is the attribute that is specifically empty for non-global rules and populated for global ones — making it the unique distinguishing field."
0035,Cortex_Alerting_and_Detection,Cortex: Alerting and Detection,3.3,3.3 detection rules (IOC/BIOC),single,"In the Cortex IOC Rules table, what does the ""Expiration Date"" attribute of an IOC rule control?",The date by which the rule must be reviewed and renewed manually.,The date and time at which the IOC will automatically be removed from the Cortex instance.,"The date the rule was last triggered, after which it enters a cooldown state.",The date on which the IOC becomes active and starts matching against data.,,,B,"The source defines Expiration Date as ""the date and time at which the IOC will automatically be removed from the Cortex instance."" Option A implies manual action is required, which contradicts the ""automatically removed"" language. Option C confuses expiration with last-triggered tracking."
0036,Cortex_Alerting_and_Detection,Cortex: Alerting and Detection,3.3,"3.3 detection rules (correlation, IOC/BIOC)",single,How do Correlation Rules differ from BIOC rules in their approach to threat detection in Cortex?,Correlation Rules detect behavioral patterns on individual endpoints; BIOCs analyze multi-source event correlations.,Correlation Rules rely on static file signatures; BIOCs use the XQL engine for scheduled queries.,Correlation Rules analyze correlations among multiple events from multiple sources using a scheduled XQL-based engine; BIOCs identify behavioral indicators on a per-event basis.,Correlation Rules are provided globally by Palo Alto Networks; BIOCs must always be created by the customer.,,,C,"The source describes Correlation Rules as analyzing ""correlations of multi-events from multiple sources using the XQL-based engine"" with ""scheduled rules,"" while BIOCs ""identify behavioral indicators of compromise"" on a per-behavior basis. Option A reverses the multi-event vs. individual event distinction. Option D is the reverse of what the source says — PAN provides global BIOCs, not global Correlation Rules."
0037,Cortex_Alerting_and_Detection,Cortex: Alerting and Detection,3.4,3.4 incident & alert layout,single,"According to the source, what is the key distinction in ""response intensity"" between Issues and Cases in Cortex?",Issues require automated playbook execution while cases require only manual review.,"Issues involve validating the events themselves, whereas cases demand a comprehensive and structured response that may require coordination of multiple teams.",Issues are always escalated to cases; cases are always closed without further action.,"Issues have more detailed documentation than cases, covering breach origin and recovery plans.",,,B,"The source states under the Differences tab: ""The response intensity varies; issues in Cortex often involve validating the issues themselves, whereas cases demand a comprehensive and structured response that may require the coordination of multiple teams."" Option D inverts the documentation detail level — the source says *cases* have more detailed documentation, not issues."
0038,Cortex_Alerting_and_Detection,Cortex: Alerting and Detection,3.3,3.3 detection rules (scoring),single,The Analytics Engine in Cortex creates three types of profiles for endpoints and users. Which of the following correctly names all three profile types?,"Endpoint profiles, user profiles, and network profiles","Behavioral profiles, temporal profiles, and risk profiles","Peer group profiles, temporal profiles, and entity classification profiles","Peer group profiles, anomaly profiles, and endpoint classification profiles",,,C,"The source states: ""The Analytics Engine creates profiles for endpoints and users within the network, categorizing them into peer group profiles, temporal profiles, and entity classification profiles."" Options B and D substitute plausible-sounding but unsourced alternatives for one or more of the three correct profile type names."
0039,Cortex_Alerting_and_Detection,Cortex: Alerting and Detection,3.3,3.3 detection rules (correlation),single,"When accessing the XQL development environment via a browser, what must be appended after the base tenant URL?",`/query-builder`,`/xql-search`,`/xql`,`/detection/xql`,,,C,"The source states: ""To access the development page from the browser, type */xql* after the base URL in the address bar."" The other options are invented paths not mentioned in the source. This is a precise navigation detail that distinguishes candidates who have studied the console navigation specifics."
0040,Cortex_Alerting_and_Detection,Cortex: Alerting and Detection,3.3,3.3 detection rules (correlation),single,"In XQL, which two stages are specifically identified in the source as the stages that can use functions for data transformations?",`dataset` and `fields`,`filter` and `alter`,`join` and `sort`,`limit` and `fields`,,,B,"The source's Functions tab states: ""The filter and alter stages are the two stages that can use functions for data transformations,"" giving `current_time()` and `extract_time()` as examples. The `dataset`, `fields`, `join`, `sort`, and `limit` stages are commonly used XQL stages but are not identified as the function-capable stages for data transformation."
0041,Cortex_Analysis_and_Collaboration,Cortex: Analysis and Collaboration,,D2 Integration & Automation,single,Which statement accurately distinguishes the Case War Room from the Issue War Room?,"The Issue War Room provides a centralized space for collaboration among multiple case members, while the Case War Room offers only a read-only timeline.","The Case War Room manages and coordinates response to confirmed security cases, while the Issue War Room is designed for initial triage and investigation of a single security issue.","The Case War Room is used for initial triage, while the Issue War Room manages confirmed security cases.",Both War Rooms are identical in scope; the difference is only cosmetic.,,,B,"The source explicitly states the Case War Room is for managing confirmed security cases while the Issue War Room is for initial triage and investigation. Distractor A reverses the collaboration role — it is the Case War Room that enables collaboration among case members, not the Issue War Room."
0042,Cortex_Analysis_and_Collaboration,Cortex: Analysis and Collaboration,,D2 Integration & Automation,single,An analyst wants to notify a colleague and add them to the case team directly from the War Room CLI. Which command prefix should be used?,!,/,@,#,,,C,"The source states that `@` commands are used for user collaboration — to contact other team members, send notifications, and add them to the team. The `!` prefix is for running automation scripts and integration commands, not for contacting users."
0043,Cortex_Analysis_and_Collaboration,Cortex: Analysis and Collaboration,,D2 Integration & Automation,single,What is the keyboard shortcut described in the source for focusing the CLI field in the War Room?,Ctrl+/,Ctrl+;,Ctrl+`,Ctrl+C,,,B,"The source screenshot caption explicitly shows the placeholder text ""Focus on the CLI field using 'ctrl+;'"". The other options are plausible keyboard shortcuts but are not mentioned in the source material."
0044,Cortex_Analysis_and_Collaboration,Cortex: Analysis and Collaboration,,D2 Integration & Automation,multi,"In the Cortex War Room, which of the following filter categories can be used to narrow down War Room entries? (Choose two.)",Severity,Notes,Files,Source,,,B|C,"The source lists the filter options as: Chats, Notes, Files, Case History, Commands and Task results, and Tags. Severity and Source are not listed as War Room entry filter categories."
0045,Cortex_Analysis_and_Collaboration,Cortex: Analysis and Collaboration,,D2 Integration & Automation,single,A playbook task requires data produced by a prior automation step. How is that data made available to the subsequent task?,It is automatically broadcast to all active tasks via a shared memory bus.,"It is written to the context data repository, from which the subsequent task retrieves it.",It is attached as a file artifact in the War Room and downloaded by the next task.,It is stored in the case's Assets and Artifacts tab and polled by the next automation.,,,B,"The source states that context data is ""the only way to share data between automations"" — prior tasks write output to context, and subsequent tasks read inputs from context. File attachment and artifact tabs are not the mechanism for inter-task data sharing."
0046,Cortex_Analysis_and_Collaboration,Cortex: Analysis and Collaboration,,D2 Integration & Automation,single,Which action available on a War Room entry allows an analyst to associate that entry with an open task in the work plan?,Mark as Note,Add Tags,View Artifact in New Tab,Attach to Task,,,D,"The source lists five War Room entry actions: Mark as Note, View Artifact in New Tab, Attach to Task, Download Artifact, and Add Tags. ""Attach to Task"" is specifically the action that links an entry to a work plan task."
0047,Cortex_Analysis_and_Collaboration,Cortex: Analysis and Collaboration,,D2 Integration & Automation,single,Context data in Cortex is described as serving two essential functions. Which pair correctly identifies both functions?,Trigger playbooks and log user activity,Capture data and share data,Store endpoint telemetry and generate dashboards,Authenticate integrations and schedule automations,,,B,"The source explicitly names two basic functions of context data: ""Capture Data"" (capture important structured data from automations for case summary display) and ""Share Data"" (pass data between playbook tasks). The other pairs describe unrelated Cortex functions."
0048,Cortex_Analysis_and_Collaboration,Cortex: Analysis and Collaboration,,D2 Integration & Automation,single,Which of the following statements about context data is accurate according to the source?,Context data is stored per tenant and shared across all cases within that tenant.,Context data is a Python-formatted repository generated only by integration commands.,Context data is stored per issue and/or case and is formatted as JSON.,Context data is stored centrally and is identical for all issues sharing the same playbook.,,,C,"The source states context is stored ""for each issue and/or case"" and is ""a JSON-formatted repository."" It is not tenant-wide, not Python-formatted, and not shared across cases. The JSON format is the correct answer — other format options like XML, CEF, or LEEF are common distractors from the knowledge-check questions in the source."
0049,Cortex_Analyzing_Issue_Causality,Cortex: Analyzing Issue Causality,,D3 Content Optimization,single,"What does the highlighted ""attack zone"" region in the Causality View represent?",Only the process that directly triggered the detection issue.,"All processes directly or indirectly involved in the attack, which the Cortex XDR agent terminates to neutralize the threat.",The set of endpoints across the network that communicated with the malicious process.,The causality instances belonging to a different tenant that were correlated with the attack.,,,B,"The source states the highlighted area represents ""the attack zone, which contains all processes directly or indirectly involved in the attack"" and that ""all processes within this region are responsible for the attack and are terminated by the Cortex XDR agent."" The attack zone is not limited to the single triggering process."
0050,Cortex_Analyzing_Issue_Causality,Cortex: Analyzing Issue Causality,,D3 Content Optimization,single,What is the relationship between a Causality Group Owner (CGO) and its Causality Instance (CI)?,The CGO is the final process in the CI chain  the leaf node with no children.,The CGO is the ancestor of all processes in the causality instance and is identified with the same CID as the CI.,The CGO is a spawner process that sits outside the CI and monitors its child processes.,The CGO is a label applied to any process node that has been flagged with a WildFire malware verdict.,,,B,"The source explicitly defines the CGO as ""the ancestor of all processes in the causality instance"" and states it ""is identified with the same ID, the CID."" The CGO is the root, not a leaf or an external monitor."
0051,Cortex_Analyzing_Issue_Causality,Cortex: Analyzing Issue Causality,,D3 Content Optimization,single,"How does the Cortex XDR agent use ""spawners"" during runtime to build causality instances?",Every process spawned by any parent process is automatically designated as a CGO.,"Each child process of a spawner is identified as a CGO, and a new causality instance is created starting from that CGO and including all descendant processes.",Spawners are assigned only to processes that match known malware signatures from WildFire.,Spawners divide the process tree by network connection events rather than parent-child relationships.,,,B,"The source states: ""the Cortex XDR agent…identifies every child process of a spawner as a CGO…then creates the causality instance starting from the CGO and includes all descendant processes."" Spawner status is determined by machine learning, not by malware verdict."
0052,Cortex_Analyzing_Issue_Causality,Cortex: Analyzing Issue Causality,,D3 Content Optimization,multi,Which of the following are listed as common examples of Windows final spawners in the source? (Choose two.),wscript.exe,chrome.exe,svchost.exe,firefox.exe,,,B|D,"The source explicitly lists chrome.exe, firefox.exe, and iexplore.exe as ""common examples of Windows final spawners."" wscript.exe and svchost.exe appear in the attack scenario example but are not listed as final spawners."
0053,Cortex_Analyzing_Issue_Causality,Cortex: Analyzing Issue Causality,,D3 Content Optimization,single,What does the number displayed inside the circle of a process node in the Causality View indicate?,The total number of issues associated with the entire causality instance.,The number of parent processes above this node.,The number of child processes belonging to that node.,The WildFire verdict score for the process.,,,C,"The source knowledge check confirms: ""Number of child processes"" is what the number inside the circle indicates. This is a common distractor question because analysts might expect the number to represent issues or a score."
0054,Cortex_Analyzing_Issue_Causality,Cortex: Analyzing Issue Causality,,D3 Content Optimization,single,An injection node in the Causality View has two clickable parts. Which statement correctly describes the difference between the two parts?,The injection part shows events performed by the process on behalf of processes outside the CI; the non-injection part shows events within the CI.,The injection part shows events performed on behalf of processes inside the CI; the non-injection part shows events performed on behalf of processes outside the CI.,The injection part shows file and registry events; the non-injection part shows network events only.,The two parts are cosmetic only; both point to different operating system processes.,,,B,"The source states injection events are ""performed by a process on behalf of the parent process or other processes that are part of the same causality instance,"" while non-injection events are ""performed by the process…on behalf of any other processes that are not part of causality instance."" Both parts point to the same OS process."
0055,Cortex_Analyzing_Issue_Causality,Cortex: Analyzing Issue Causality,,D3 Content Optimization,single,"In the Timeline View, what color represents Cortex issues (as opposed to BIOCs/correlation issues or informational activities)?",Blue,Orange,Red,Yellow,,,C,"The source states the three categories in the events section are: ""Cortex issues in red; BIOCs and correlation rules issues in orange; and other informational activities and events in blue."" Red is specifically for Cortex issues, orange for BIOCs/correlation, and blue for informational."
